university_name,city,program_name,eligibility,duration,estimated_fee,admission_test,official_source
National College of Arts (NCA),Lahore,BS Architecture,"FSc Pre-Engineering or equivalent, min 60%, aptitude test",5 years,"PKR 35,000 - 55,000 per semester",NCA Entry Test (Aptitude + Portfolio),https://nca.edu.pk
Kinnaird College for Women University,Lahore,BS English,"FA/FSc or equivalent, min 45%",4 years,"PKR 60,000 - 90,000 per semester",Open Merit,https://kinnaird.edu.pk
Kinnaird College for Women University,Lahore,BS Psychology,"FA/FSc or equivalent, min 45%",4 years,"PKR 60,000 - 90,000 per semester",Open Merit,https://kinnaird.edu.pk
Kinnaird College for Women University,Lahore,BS Economics,"FA/FSc or equivalent, min 45%",4 years,"PKR 60,000 - 90,000 per semester",Open Merit,https://kinnaird.edu.pk
Forman Christian College (A Chartered University),Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 90,000 - 130,000 per semester",FCC Entrance Test,https://fccollege.edu.pk
Forman Christian College (A Chartered University),Lahore,BS Economics,"FA/FSc or equivalent, min 45%",4 years,"PKR 90,000 - 130,000 per semester",FCC Entrance Test,https://fccollege.edu.pk
Forman Christian College (A Chartered University),Lahore,BS Sociology,"FA/FSc or equivalent, min 45%",4 years,"PKR 85,000 - 120,000 per semester",FCC Entrance Test,https://fccollege.edu.pk
University of Management and Technology (UMT),Lahore,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 70,000 - 110,000 per semester",UMT Aptitude Test,https://umt.edu.pk
University of Management and Technology (UMT),Lahore,BBA (Hons),"FA/FSc/I.Com or equivalent, min 45%",4 years,"PKR 65,000 - 100,000 per semester",UMT Aptitude Test,https://umt.edu.pk
University of Management and Technology (UMT),Lahore,BS Mass Communication,"FA/FSc or equivalent, min 45%",4 years,"PKR 60,000 - 95,000 per semester",UMT Aptitude Test,https://umt.edu.pk
UET Taxila,Taxila,BS Electrical Engineering,"FSc Pre-Engineering or equivalent, min 60%",4 years,"PKR 65,000 - 90,000 per semester",ECAT,https://uettaxila.edu.pk
UET Taxila,Taxila,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 60%",4 years,"PKR 55,000 - 75,000 per semester",ECAT,https://uettaxila.edu.pk
Government College University Faisalabad (GCUF),Faisalabad,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 20,000 - 32,000 per semester",GCUF Entry Test,https://gcuf.edu.pk
Government College University Faisalabad (GCUF),Faisalabad,BS Chemistry,"FSc Pre-Medical/Pre-Engineering or equivalent, min 45%",4 years,"PKR 18,000 - 28,000 per semester",GCUF Entry Test,https://gcuf.edu.pk
Bahauddin Zakariya University (BZU),Multan,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 18,000 - 30,000 per semester",BZU Entry Test,https://bzu.edu.pk
Bahauddin Zakariya University (BZU),Multan,BA-LL.B (Hons),"FA/FSc/I.Com or equivalent, min 45%, valid LAT score",5 years,"PKR 20,000 - 32,000 per semester",LAT,https://bzu.edu.pk
Bahauddin Zakariya University (BZU),Multan,BS International Relations,"FA/FSc or equivalent, min 45%",4 years,"PKR 18,000 - 28,000 per semester",BZU Entry Test,https://bzu.edu.pk
Nishtar Medical University,Multan,MBBS,"FSc Pre-Medical or equivalent, min 70%, valid MDCAT score",5 years,"PKR 35,000 - 80,000 per year",MDCAT,https://nmu.edu.pk
Islamia University of Bahawalpur (IUB),Bahawalpur,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 15,000 - 28,000 per semester",IUB Entry Test,https://iub.edu.pk
Islamia University of Bahawalpur (IUB),Bahawalpur,BBA (Hons),"FA/FSc/I.Com or equivalent, min 45%",4 years,"PKR 18,000 - 30,000 per semester",IUB Entry Test,https://iub.edu.pk
Islamia University of Bahawalpur (IUB),Bahawalpur,BS Sociology,"FA/FSc or equivalent, min 45%",4 years,"PKR 14,000 - 25,000 per semester",IUB Entry Test,https://iub.edu.pk
University of Gujrat (UOG),Gujrat,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 18,000 - 32,000 per semester",UOG Entry Test,https://uog.edu.pk
University of Gujrat (UOG),Gujrat,BS Data Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 20,000 - 34,000 per semester",UOG Entry Test,https://uog.edu.pk
University of Gujrat (UOG),Gujrat,BS Economics,"FA/FSc or equivalent, min 45%",4 years,"PKR 16,000 - 28,000 per semester",UOG Entry Test,https://uog.edu.pk
Fatima Jinnah Women University (FJWU),Rawalpindi,BS Computer Science,"FSc Pre-Engineering/ICS or equivalent, min 50%",4 years,"PKR 16,000 - 28,000 per semester",FJWU Entry Test,https://fjwu.edu.pk
Fatima Jinnah Women University (FJWU),Rawalpindi,BS Psychology,"FA/FSc or equivalent, min 45%",4 years,"PKR 15,000 - 26,000 per semester",FJWU Entry Test,https://fjwu.edu.pk
Fatima Jinnah Women University (FJWU),Rawalpindi,BA-LL.B (Hons),"FA/FSc/I.Com or equivalent, min 45%, valid LAT score",5 years,"PKR 18,000 - 30,000 per semester",LAT,https://fjwu.edu.pk
